-160 = 224
Frame Count: 195, Latitude: 38.013416, Longitude: 23.75323, Altitude: 385.515015
Frame Count: 196, Latitude: 38.013423, Longitude: 23.753234, Altitude: 385.515015
Frame Count: 197, Latitude: 38.013423, Longitude: 23.753234, Altitude: 385.515015
Frame Count: 198, Latitude: 38.013423, Longitude: 23.753234, Altitude: 385.515015
Frame Count: 199, Latitude: 38.01343, Longitude: 23.753237, Altitude: 385.567993
Frame Count: 200, Latitude: 38.01343, Longitude: 23.753237, Altitude: 385.567993
Frame Count: 201, Latitude: 38.013436, Longitude: 23.75324, Altitude: 385.567993
Frame Count: 202, Latitude: 38.013436, Longitude: 23.75324, Altitude: 385.567993
Frame Count: 203, Latitude: 38.013436, Longitude: 23.75324, Altitude: 385.567993
Frame Count: 204, Latitude: 38.013443, Longitude: 23.753244, Altitude: 385.631989
Frame Count: 205, Latitude: 38.013443, Longitude: 23.753244, Altitude: 385.631989
Frame Count: 206, Latitude: 38.013443, Longitude: 23.753244, Altitude: 385.631989
Frame Count: 207, Latitude: 38.013449, Longitude: 23.753247, Altitude: 385.631989
Frame Count: 208, Latitude: 38.013449, Longitude: 23.753247, Altitude: 385.631989
Frame Count: 209, Latitude: 38.013456, Longitude: 23.75325, Altitude: 385.675995
Frame Count: 210, Latitude: 38.013456, Longitude: 23.75325, Altitude: 385.675995
Frame Count: 211, Latitude: 38.013456, Longitude: 23.75325, Altitude: 385.675995
Frame Count: 212, Latitude: 38.013463, Longitude: 23.753254, Altitude: 385.675995
Frame Count: 213, Latitude: 38.013463, Longitude: 23.753254, Altitude: 385.675995
Frame Count: 214, Latitude: 38.013469, Longitude: 23.753257, Altitude: 385.730011
Frame Count: 215, Latitude: 38.013469, Longitude: 23.753257, Altitude: 385.730011
Frame Count: 216, Latitude: 38.013476, Longitude: 23.75326, Altitude: 385.730011
Frame Count: 217, Latitude: 38.013476, Longitude: 23.75326, Altitude: 385.730011
Frame Count: 218, Latitude: 38.013476, Longitude: 23.75326, Altitude: 385.730011
Frame Count: 219, Latitude: 38.013483, Longitude: 23.753264, Altitude: 385.773987
Frame Count: 220, Latitude: 38.013483, Longitude: 23.753264, Altitude: 385.773987
Frame Count: 221, Latitude: 38.013483, Longitude: 23.753264, Altitude: 385.773987
Frame Count: 222, Latitude: 38.01349, Longitude: 23.753267, Altitude: 385.773987
Frame Count: 223, Latitude: 38.01349, Longitude: 23.753267, Altitude: 385.773987
Frame Count: 224, Latitude: 38.013496, Longitude: 23.75327, Altitude: 385.822998
Frame Count: 225, Latitude: 38.013496, Longitude: 23.75327, Altitude: 385.822998
Frame Count: 226, Latitude: 38.013496, Longitude: 23.75327, Altitude: 385.822998
Frame Count: 227, Latitude: 38.013503, Longitude: 23.753274, Altitude: 385.822998
Frame Count: 228, Latitude: 38.013503, Longitude: 23.753274, Altitude: 385.822998
Frame Count: 229, Latitude: 38.01351, Longitude: 23.753277, Altitude: 385.859985
Frame Count: 230, Latitude: 38.01351, Longitude: 23.753277, Altitude: 385.859985
Frame Count: 231, Latitude: 38.013516, Longitude: 23.75328, Altitude: 385.859985
Frame Count: 232, Latitude: 38.013516, Longitude: 23.75328, Altitude: 385.859985
Frame Count: 233, Latitude: 38.013516, Longitude: 23.75328, Altitude: 385.859985
Frame Count: 234, Latitude: 38.013523, Longitude: 23.753283, Altitude: 385.859985
Frame Count: 235, Latitude: 38.013523, Longitude: 23.753283, Altitude: 385.859985
